псалтыр, псалтырь
балти, балтий
актуал, актуаль
живопис, живопись
яз, язь
борт, борть
грабар, грабарь
прыт, прыть
гребен, гребень
событи, событий
хрустал, хрусталь
собол, соболь
зят, зять
полинези, полинезий
аллел, аллель
ветош, ветошь
можжевел, можжевель
мингрел, мингрель
штабел, штабель
цесар, цесарь
геран, герань
желуд, желудь
филиал, филиаль
пролюви, пролювий
проповед, проповедь
перстен, перстень
картеч, картечь
деревен, деревень
ухмыл, ухмыль
янтар, янтарь
перифери, периферий
рыс, рысь
бахвал, бахваль
фальш, фальшь
ущел, ущель
парцелл, парцелль
мадригал, мадригаль
камчадал, камчадаль
купол, куполь
тюлен, тюлень
ер, ерь
бюллетен, бюллетень
осокор, осокорь
черв, червь
милост, милость
идол, идоль
сплош, сплошь
элюви, элювий
окон, оконь
вандал, вандаль
креол, креоль
яблон, яблонь
занавес, занавесь
мечет, мечеть
жерд, жердь
благодат, благодать
пролетари, пролетарий
алтар, алтарь
скатерт, скатерть
сухмен, сухмень
кизил, кизиль
португал, португаль
ртут, ртуть
пароди, пародий
номинал, номиналь
перст, персть
замет, заметь
ряб, рябь
хлуп, хлупь
якор, якорь
заповед, заповедь
терминал, терминаль
мангл, мангль
протокол, протоколь
кесар, кесарь
лекал, лекаль
карас, карась
ил, иль
нол, ноль
матери, материй
кегл, кегль
богатыр, богатырь
венесуэл, венесуэль
мемориал, мемориаль
сельд, сельдь
сингал, сингаль
неприязн, неприязнь
кубар, кубарь
сажен, сажень
госпитал, госпиталь
кустар, кустарь
чал, чаль
чел, чель
пряд, прядь
филигран, филигрань
груст, грусть
мыш, мышь
пяст, пясть
одул, одуль
хлеб, хлебь
спекул, спекуль
латын, латынь
волдыр, волдырь
вольтер, вольтерь
маюскул, маюскуль
чучел, чучель
киновар, киноварь
ремен, ремень
голавл, голавль
кетмен, кетмень
кон, конь
козюл, козюль
щебен, щебень
сентиментал, сентименталь
штукар, штукарь
лебед, лебедь
верф, верфь
нян, нянь
милостын, милостынь
морков, морковь
кошенил, кошениль
келар, келарь
щавел, щавель
литурги, литургий
очеред, очередь
селезен, селезень
полос, полось
супон, супонь
слякот, слякоть
таран, тарань
шмел, шмель
зерн, зернь
ферз, ферзь
степен, степень
комел, комель
мали, малий
назал, назаль
шпул, шпуль
миткал, миткаль
жмуд, жмудь
пасквил, пасквиль
патримони, патримоний
лун, лунь
дяд, дядь
гнус, гнусь
чифир, чифирь
продел, продель
жимолост, жимолость
звен, звень
огул, огуль
корабел, корабель
камзол, камзоль
монопол, монополь
ворван, ворвань
агул, агуль
гир, гирь
зыб, зыбь
хорал, хораль
сандал, сандаль
желч, желчь
локот, локоть
игумен, игумень
гуцул, гуцуль
черн, чернь
кочен, кочень
кров, кровь
нашатыр, нашатырь
олад, оладь
шерст, шерсть
болон, болонь
ворон, воронь
пономар, пономарь
полст, полсть
инфантил, инфантиль
щепот, щепоть
дын, дынь
тепер, теперь
кроват, кровать
стерн, стернь
хмур, хмурь
спес, спесь
изюбр, изюбрь
элизи, элизий
олен, олень
кисел, кисель
кенар, кенарь
крыл, крыль
штыр, штырь
патрици, патриций
сенегал, сенегаль
вдов, вдовь
ребер, реберь
ассири, ассирий
манти, мантий
фискал, фискаль
словар, словарь
сырт, сырть
вспыл, вспыль
молв, молвь
пул, пуль
двор, дворь
ритуал, ритуаль
вымпел, вымпель
государ, государь
жур, журь
завод, заводь
апостол, апостоль
вакханал, вакханаль
выхухол, выхухоль
австри, австрий
секретар, секретарь
капрал, капраль
пяд, пядь
вензел, вензель
штил, штиль
портал, порталь
гряз, грязь
девят, девять
прихот, прихоть
зяб, зябь
судар, сударь
бацби, бацбий
прюнел, прюнель
егер, егерь
молни, молний
баул, бауль
свин, свинь
флеш, флешь
прелест, прелесть
межен, межень
имбир, имбирь
хрестомати, хрестоматий
икари, икарий
десят, десять
повет, поветь
нул, нуль
крахмал, крахмаль
вокзал, вокзаль
капсул, капсуль
клет, клеть
трепел, трепель
культур, культурь
вогул, вогуль
маляри, малярий
дактил, дактиль
латви, латвий
рул, руль
престол, престоль
кандал, кандаль
тюл, тюль
печен, печень
похот, похоть
теори, теорий
шир, ширь
вермишел, вермишель
плевел, плевель
топол, тополь
дьявол, дьяволь
уби, убий
шест, шесть
плеш, плешь
пилюл, пилюль
тят, тять
финифт, финифть
кинжал, кинжаль
шквал, шкваль
зубил, зубиль
панцир, панцирь
никел, никель
ильмен, ильмень
челяд, челядь
крендел, крендель
фасол, фасоль
зелен, зелень
чехол, чехоль
криминал, криминаль
лазур, лазурь
брашпил, брашпиль
костыл, костыль
бяз, бязь
латун, латунь
жест, жесть
кухон, кухонь
ки, кий
морос, морось
стади, стадий
голен, голень
ал, аль
нахал, нахаль
австрали, австралий
поскон, посконь
гастрол, гастроль
фатал, фаталь
участ, участь
мегрел, мегрель
шакал, шакаль
господар, господарь
трен, трень
нефт, нефть
жавел, жавель
маршал, маршаль
инициал, инициаль
штурвал, штурваль
кочев, кочевь
стропил, стропиль
парен, парень
сигнал, сигналь
пластыр, пластырь
евангел, евангель
пузыр, пузырь
козыр, козырь
гени, гений
чили, чилий
монастыр, монастырь
юфт, юфть
горст, горсть
ул, уль
стар, старь
сволоч, сволочь
лошад, лошадь
бобыл, бобыль
шагрен, шагрень
цар, царь
тон, тонь
голуб, голубь
пчел, пчель
копыт, копыть
ступен, ступень
адмирал, адмираль
волост, волость
каннибал, каннибаль
аул, ауль
мобил, мобиль
роскош, роскошь
водевил, водевиль
корыст, корысть
смерт, смерть
сезон, сезонь
жаб, жабь
овал, оваль
жал, жаль
слесар, слесарь
педал, педаль
байкал, байкаль
кабал, кабаль
христ, христь
дизентери, дизентерий
дум, думь
вуал, вуаль
дроссел, дроссель
алкогол, алкоголь
аврал, авраль
трюфел, трюфель
бенгал, бенгаль
щел, щель
вокал, вокаль
дуэл, дуэль
фриги, фригий
картофел, картофель
неандертал, неандерталь
миндал, миндаль
титул, титуль
флекси, флексий
есаул, есауль
перкал, перкаль
барахол, барахоль
фитил, фитиль
дрян, дрянь
журавл, журавль
шинел, шинель
артиллери, артиллерий
финики, финикий
делюви, делювий
балл, балль
танзани, танзаний
штемпел, штемпель
ревен, ревень
мес, месь
календар, календарь
звер, зверь
должност, должность
ясен, ясень
кефал, кефаль
нигери, нигерий
критери, критерий
окун, окунь
рыб, рыбь
сосул, сосуль
полост, полость
отороп, оторопь
обезьян, обезьянь
выс, высь
лопаст, лопасть
хляб, хлябь
лоб, лобь
вертел, вертель
вороб, воробь
шпил, шпиль
галл, галль
минерал, минераль
богадел, богадель
пес, песь
мытар, мытарь
пудел, пудель
анди, андий
бразил, бразиль
област, область
омул, омуль
доблест, доблесть
рыцар, рыцарь
фраки, фракий
тетрад, тетрадь
произвол, произволь
шевел, шевель
хмел, хмель
кул, куль
мочал, мочаль
кудел, кудель
завист, зависть
вишен, вишень
церков, церковь
штапел, штапель
кардинал, кардиналь
параллел, параллель
эпители, эпителий
кист, кисть
стебел, стебель
гондол, гондоль
медвеж, медвежь, медвед, медведь
станци, станций
минускул, минускуль
